16:32:29.405 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
20:09:08.609 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
20:09:08.650 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
20:09:09.131 [main] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: c76adef1-9a03-4464-807f-e5861a120a4e

20:09:09.217 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@49665f92, org.springframework.security.web.context.SecurityContextPersistenceFilter@75c77add, org.springframework.security.web.header.HeaderWriterFilter@4c9cce17, org.springframework.security.web.csrf.CsrfFilter@56a9a7b5, org.springframework.security.web.authentication.logout.LogoutFilter@47ffa248, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@45b08b17, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@1b7a4930, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@b68932b, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@195cbf5e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@53df7e67, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@19d76106, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@77b27b57, org.springframework.security.web.session.SessionManagementFilter@63a7af06, org.springframework.security.web.access.ExceptionTranslationFilter@7a587e84, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@71687d8f]
20:09:09.291 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
20:09:09.305 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
20:09:09.315 [main] INFO  com.dividend.DividendApplication - Started DividendApplication in 2.903 seconds (JVM running for 3.695)
20:10:18.650 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
20:10:18.651 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
20:10:18.654 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
